"marketplace","customer_id","review_id","product_id","product_parent","product_title","product_category","star_rating","helpful_votes","total_votes","vine","verified_purchase","review_headline","review_body","review_date","type","helpful_ratio","helpful","has_votes","impact_pos","impact_neg","cum_star_rating","review_month","impact_star"
"us",21879631,"RY52KZABZK8QF","B0052G14E8",423421857,"danby 0.7 cu.ft. countertop microwave","major appliances",1,0,0,"n","y","do not recommend it. go use your money for something more ...","3 of the buttons stopped working after a month of using it. it was used twice a day. do not recommend it. go use your money for something more durable. oh and also big plates do not fit in it.",2015-08-31,"microwave",NA,NA,FALSE,0,0,1,2015-08-01,NA
"us",14964566,"R3GCOEV4HYZG2I","B0055UBB4O",423421857,"danby 0.7 cu.ft. countertop microwave","major appliances",5,0,0,"n","y","looks as good as the picture","didn't use it long so i can't attest to that but for the price it is extremely good looking and feels like a quality build. just know it's small - you will not be nuking turkeys in this - and it's not super high wattage so it may take a bit longer. so if you must have your canned soup in 2-1/2 minutes and not 3 then this won't work.",2015-08-31,"microwave",NA,NA,FALSE,0,0,3,2015-08-01,NA
"us",13230389,"R1V2OPPNL0QGCE","B0052G14E8",423421857,"danby 0.7 cu.ft. countertop microwave","major appliances",4,0,0,"n","y","four stars","very nice microwave, great price",2015-08-31,"microwave",NA,NA,FALSE,0,0,3.33333333333333,2015-08-01,NA
"us",43655888,"R9Q0QDTLKV567","B004ZU09QQ",423421857,"danby 0.7 cu.ft. countertop microwave","major appliances",3,0,1,"n","y","quiet","quiet, but does not seem like 1000 watt power.",2015-08-31,"microwave",0,FALSE,TRUE,0,0,3.25,2015-08-01,NA
"us",117794,"R3DL7HYC3QTWNI","B005GSZB7I",827502283,"whirlpool stainless look countertop microwave, 0.5 cu. feet, wmc20005yd","major appliances",4,0,0,"n","y","four stars","it's bigger than i thought.",2015-08-31,"microwave",NA,NA,FALSE,0,0,3.4,2015-08-01,NA
"us",16018452,"R3M88678ZYC6WI","B004ZU09QQ",423421857,"danby 0.7 cu.ft. countertop microwave","major appliances",5,0,0,"n","y","great microwave","really love this microwave. has the one touch settings that i wanted along with the +30 seconds button.  its a great size for a countertop.  it can be a little noisy when it beeps as others have said.",2015-08-31,"microwave",NA,NA,FALSE,0,0,3.66666666666667,2015-08-01,NA
"us",50761053,"R2G20T7N6L3HO1","B001QFYDSI",295520151,"sharp microwave drawer oven","major appliances",1,0,0,"n","n","stopped working after 2 years","we bought this microwave 2 years ago as part of a home remodel. it was great while it worked but recently stopped working. sharp warranty is only 1 year. for the amount of money we spent on this i would expect it to last more than 2 years.",2015-08-30,"microwave",NA,NA,FALSE,0,0,3.28571428571429,2015-08-01,NA
"us",21924164,"R29F0E6EJJCEEM","B004ZUWBVW",423421857,"danby 0.7 cu.ft. countertop microwave","major appliances",4,0,0,"n","y","was pleased with the packaging and easy instructions to set it ...","was pleased with the packaging and easy instructions to set it up. worth $55 and that it was 'prime&#34; order.",2015-08-29,"microwave",NA,NA,FALSE,0,0,3.375,2015-08-01,NA
"us",18672427,"R1WU4A3QFKJ0HT","B0052G14E8",423421857,"danby 0.7 cu.ft. countertop microwave","major appliances",5,0,0,"n","y","great value for the money.","neat little unit. i have no complaints.",2015-08-29,"microwave",NA,NA,FALSE,0,0,3.55555555555556,2015-08-01,NA
"us",3159360,"R2Q061UH1EJHIJ","B007V7G5TU",423421857,"danby 0.7 cu.ft. countertop microwave","major appliances",2,1,1,"n","y","it had great reviews when we ordered it","the finish is nice and matches our stainless steel/black wall oven nicely. however, the button to open the door no longer opens on the first try or needs some help. and occasionally something internal to the microwave makes a noise when the tray is rotating.",2015-08-28,"microwave",1,NA,TRUE,0,0,3.4,2015-08-01,NA
"us",12458936,"R2F0TUS62C3ZCN","B0052G14E8",423421857,"danby 0.7 cu.ft. countertop microwave","major appliances",5,0,0,"n","y","great little microwave!","excellent small microwave!  i recently moved to an apartment which did not have a built-in microwave, but also a kitchen that wasn't that big.  this microwave was perfect for it.  its footprint is small, however it packs a punch.  all my plates fit it and cooks everything evenly.  the only downside is that when opening or closing the door, the whole microwave sometimes may move as it's not the heaviest out there, but i'm not going to fault it for that, i just simply put my other hand on top of it while opening/closing.",2015-08-28,"microwave",NA,NA,FALSE,0,0,3.54545454545455,2015-08-01,NA
"us",39416583,"R2X9MN0B0MVUZT","B0052G14E8",423421857,"danby 0.7 cu.ft. countertop microwave","major appliances",4,0,0,"n","y","four stars","works really well",2015-08-27,"microwave",NA,NA,FALSE,0,0,3.58333333333333,2015-08-01,NA
"us",31487975,"R35P4D0NHKAGKE","B005GSZB9Q",771401205,"whirlpool wmc20005yw  countertop microwave, 0.5 cu. ft., white","major appliances",5,1,1,"n","y","five stars","love this microwave!  gives me more space in my kitchen. ..only con is the price.",2015-08-27,"microwave",1,NA,TRUE,0,0,3.69230769230769,2015-08-01,NA
"us",26976013,"R2V6PXBBC9ZPKZ","B004NXUJ60",523301568,"microwave cavity paint 98qbp0302","major appliances",3,0,1,"n","y","i never used this for my wife insisted we buy ...","i never used this for my wife insisted we buy a new microwave after i bought this. i did contact ge and they gave me a 20$ credit  and said not to worry about  paint peeling off. tell that to your wife! that was ok because i read some reviews which made it sound alittle difficult to use.",2015-08-27,"microwave",0,FALSE,TRUE,0,0,3.64285714285714,2015-08-01,NA
"us",43393377,"R1MTXPHNTE0OEM","B007XZ8FNO",565072108,"lg over-the-range microwave oven with 300 cfm venting system","major appliances",1,3,3,"n","n","this device needs to be recalled, deaths are going to occur.","we are currently on the third microwave from lg. the first microwave failed after 2 weeks.  it took 2 weeks for lg to get us a new microwave.  the next microwave lasted 11 months.  it went out on thanksgiving, we bought a 69.00 off brand microwave, it has worked perfectly for last 18 months. the lg failed again after 18 months.  lowes and home depot should replace microwave.  reading the blog, i have never had a brand of microwave failed this often.  i am going to take lg to court.  they have to know there is a major problem, if so many failures, yet they continued producing this worthless piece of junk.  this appears to be another bean counter situation, cheaper to give new machine and fix damage, than recall product.",2015-08-26,"microwave",1,TRUE,TRUE,0,1,3.46666666666667,2015-08-01,"helpful 1 star"
